Ticker,Status Akuisisi
FISH,TIDAK ADA
FITT,TIDAK ADA
FORU,TIDAK ADA
GAMA,TIDAK ADA
GDST,TIDAK ADA
GDYR,TIDAK ADA
GEMS,TIDAK ADA
GGRP,TIDAK ADA
GHON,TIDAK ADA
GLOB,TIDAK ADA
GMTD,TIDAK ADA
GOLD,TIDAK ADA
GOLL,TIDAK ADA
GOOD,TIDAK ADA
GRPH,TIDAK ADA
GTRA,TIDAK ADA
GUNA,TIDAK ADA
GWSA,TIDAK ADA
HAIS,TIDAK ADA
HDFA,TIDAK ADA
HDIT,TIDAK ADA
HELI,TIDAK ADA
HERO,TIDAK ADA
HEXA,TIDAK ADA
HGII,TIDAK ADA
HILL,TIDAK ADA
HITS,TIDAK ADA
HKMU,TIDAK ADA
HOME,TIDAK ADA
HOTL,TIDAK ADA
HRME,TIDAK ADA
HYGN,TIDAK ADA
IBFN,TIDAK ADA
IBST,TIDAK ADA
IDPR,TIDAK ADA
IFII,TIDAK ADA
IFSH,TIDAK ADA
IGAR,TIDAK ADA
IIKP,TIDAK ADA
IKBI,TIDAK ADA
IMAS,TIDAK ADA
INAF,TIDAK ADA
INAI,TIDAK ADA
INCF,TIDAK ADA
INCI,TIDAK ADA
INDR,TIDAK ADA
INDX,TIDAK ADA
INOV,TIDAK ADA
INPP,TIDAK ADA
INPS,TIDAK ADA
INRU,TIDAK ADA
IPCC,TIDAK ADA
IPPE,TIDAK ADA
ISSP,TIDAK ADA
ITIC,TIDAK ADA
ITMA,TIDAK ADA
JAWA,TIDAK ADA
JAYA,TIDAK ADA
JECC,TIDAK ADA
JMAS,TIDAK ADA
JRPT,TIDAK ADA
JSKY,TIDAK ADA
JSPT,TIDAK ADA
JTPE,TIDAK ADA
KAEF,TIDAK ADA
KARW,TIDAK ADA
KAYU,TIDAK ADA
KBRI,TIDAK ADA
KDSI,TIDAK ADA
KEJU,TIDAK ADA
KIAS,TIDAK ADA
KING,TIDAK ADA
KINO,TIDAK ADA
KMDS,TIDAK ADA
KONI,TIDAK ADA
KSIX,TIDAK ADA
LABS,TIDAK ADA
LCGP,TIDAK ADA
LFLO,TIDAK ADA
LIFE,TIDAK ADA
LINK,TIDAK ADA
LION,TIDAK ADA
LIVE,TIDAK ADA
LMAS,TIDAK ADA
LMSH,TIDAK ADA
LPCK,TIDAK ADA
LPGI,TIDAK ADA
LPIN,TIDAK ADA
